IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
13.250.14.76,443,true,SIN,亚太,SG,新加坡,新加坡,83 ms,17.97
66.179.48.121,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,17.83
66.179.48.199,443,true,SJC,北美洲,US,美国,圣何塞,143 ms,17.72
5.10.245.142,443,true,SJC,北美洲,US,美国,圣何塞,167 ms,17.70
5.10.244.199,443,true,SJC,北美洲,US,美国,圣何塞,172 ms,17.66
5.10.246.212,443,true,SJC,北美洲,US,美国,圣何塞,136 ms,17.51
45.202.113.252,443,true,SJC,北美洲,US,美国,圣何塞,136 ms,17.49
45.202.113.250,443,true,SJC,北美洲,US,美国,圣何塞,130 ms,17.35
5.10.244.173,443,true,SJC,北美洲,US,美国,圣何塞,135 ms,17.34
45.202.113.101,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,17.33
108.162.194.130,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,17.25
5.10.244.38,443,true,SJC,北美洲,US,美国,圣何塞,148 ms,17.25
45.202.113.58,443,true,SJC,北美洲,US,美国,圣何塞,149 ms,17.24
45.202.113.38,443,true,SJC,北美洲,US,美国,圣何塞,133 ms,17.13
45.202.113.255,443,true,SJC,北美洲,US,美国,圣何塞,144 ms,17.13
45.202.113.149,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,17.12
5.10.245.162,443,true,SJC,北美洲,US,美国,圣何塞,165 ms,17.09
108.162.194.178,443,true,SJC,北美洲,US,美国,圣何塞,160 ms,17.07
66.179.48.170,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,16.87
5.10.244.106,443,true,SJC,北美洲,US,美国,圣何塞,132 ms,16.86
5.10.246.150,443,true,SJC,北美洲,US,美国,圣何塞,166 ms,16.77
45.202.113.242,443,true,SJC,北美洲,US,美国,圣何塞,149 ms,16.70
18.183.158.211,443,true,NRT,亚太,JP,日本,东京,73 ms,16.70
66.179.48.237,443,true,SJC,北美洲,US,美国,圣何塞,131 ms,16.68
54.151.201.171,443,true,SIN,亚太,SG,新加坡,新加坡,86 ms,16.60
5.10.247.10,443,true,SJC,北美洲,US,美国,圣何塞,133 ms,16.53
5.10.246.178,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,16.47
5.10.247.158,443,true,SJC,北美洲,US,美国,圣何塞,197 ms,16.38
5.10.247.142,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,16.32
5.10.246.101,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,16.27
5.10.244.1,443,true,SJC,北美洲,US,美国,圣何塞,149 ms,16.26
45.202.113.188,443,true,SJC,北美洲,US,美国,圣何塞,165 ms,16.24
5.10.245.193,443,true,SJC,北美洲,US,美国,圣何塞,155 ms,16.06
66.179.48.173,443,true,SJC,北美洲,US,美国,圣何塞,148 ms,16.03
5.10.246.200,443,true,SJC,北美洲,US,美国,圣何塞,137 ms,15.98
5.10.246.108,443,true,SJC,北美洲,US,美国,圣何塞,141 ms,15.95
66.179.48.159,443,true,SJC,北美洲,US,美国,圣何塞,158 ms,15.89
5.10.245.60,443,true,SJC,北美洲,US,美国,圣何塞,162 ms,15.86
45.202.113.182,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,15.73
5.10.245.131,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,15.69
45.202.113.26,443,true,SJC,北美洲,US,美国,圣何塞,156 ms,15.69
5.10.245.187,443,true,SJC,北美洲,US,美国,圣何塞,148 ms,15.61
45.202.113.62,443,true,SJC,北美洲,US,美国,圣何塞,155 ms,15.56
5.10.245.147,443,true,SJC,北美洲,US,美国,圣何塞,146 ms,15.54
5.10.247.59,443,true,SJC,北美洲,US,美国,圣何塞,158 ms,15.53
5.10.244.216,443,true,SJC,北美洲,US,美国,圣何塞,149 ms,15.51
108.162.194.97,443,true,SJC,北美洲,US,美国,圣何塞,188 ms,15.50
5.10.246.88,443,true,SJC,北美洲,US,美国,圣何塞,168 ms,15.50
5.10.245.241,443,true,SJC,北美洲,US,美国,圣何塞,136 ms,15.49
13.230.34.30,443,true,NRT,亚太,JP,日本,东京,70 ms,15.48
45.202.113.216,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,15.47
5.10.246.46,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,15.45
54.199.222.232,443,true,NRT,亚太,JP,日本,东京,74 ms,15.44
5.10.245.218,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,15.40
108.162.194.40,443,true,SJC,北美洲,US,美国,圣何塞,166 ms,15.37
5.10.247.232,443,true,SJC,北美洲,US,美国,圣何塞,157 ms,15.35
5.10.246.113,443,true,SJC,北美洲,US,美国,圣何塞,166 ms,15.32
5.10.246.163,443,true,SJC,北美洲,US,美国,圣何塞,163 ms,15.31
5.10.247.231,443,true,SJC,北美洲,US,美国,圣何塞,146 ms,15.28
5.10.245.13,443,true,SJC,北美洲,US,美国,圣何塞,200 ms,15.23
5.10.244.223,443,true,SJC,北美洲,US,美国,圣何塞,135 ms,15.22
5.10.244.245,443,true,SJC,北美洲,US,美国,圣何塞,179 ms,15.15
5.10.246.165,443,true,SJC,北美洲,US,美国,圣何塞,146 ms,15.10
5.10.247.35,443,true,SJC,北美洲,US,美国,圣何塞,136 ms,15.07
5.10.246.5,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,15.06
5.10.246.229,443,true,SJC,北美洲,US,美国,圣何塞,135 ms,15.06
108.162.194.153,443,true,SJC,北美洲,US,美国,圣何塞,160 ms,15.05
66.179.48.57,443,true,SJC,北美洲,US,美国,圣何塞,145 ms,15.02
45.202.113.146,443,true,SJC,北美洲,US,美国,圣何塞,134 ms,15.01
5.10.246.76,443,true,SJC,北美洲,US,美国,圣何塞,158 ms,15.01
108.162.194.156,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,14.92
5.10.245.118,443,true,SJC,北美洲,US,美国,圣何塞,163 ms,14.91
5.10.247.42,443,true,SJC,北美洲,US,美国,圣何塞,132 ms,14.90
5.10.247.58,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,14.83
5.10.246.160,443,true,SJC,北美洲,US,美国,圣何塞,190 ms,14.77
45.202.113.232,443,true,SJC,北美洲,US,美国,圣何塞,156 ms,14.76
5.10.246.216,443,true,SJC,北美洲,US,美国,圣何塞,134 ms,14.74
5.10.247.111,443,true,SJC,北美洲,US,美国,圣何塞,159 ms,14.74
5.10.244.126,443,true,SJC,北美洲,US,美国,圣何塞,148 ms,14.73
45.202.113.238,443,true,SJC,北美洲,US,美国,圣何塞,142 ms,14.72
108.162.194.93,443,true,SJC,北美洲,US,美国,圣何塞,156 ms,14.68
5.10.246.19,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,14.65
5.10.244.25,443,true,SJC,北美洲,US,美国,圣何塞,153 ms,14.59
5.10.247.30,443,true,SJC,北美洲,US,美国,圣何塞,150 ms,14.55
45.202.113.54,443,true,SJC,北美洲,US,美国,圣何塞,132 ms,14.52
45.202.113.45,443,true,SJC,北美洲,US,美国,圣何塞,157 ms,14.52
5.10.246.51,443,true,SJC,北美洲,US,美国,圣何塞,178 ms,14.43
5.10.245.93,443,true,SJC,北美洲,US,美国,圣何塞,137 ms,14.39
5.10.245.191,443,true,SJC,北美洲,US,美国,圣何塞,143 ms,14.38
5.10.247.66,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,14.28
5.10.246.136,443,true,SJC,北美洲,US,美国,圣何塞,137 ms,14.24
5.10.247.194,443,true,SJC,北美洲,US,美国,圣何塞,178 ms,14.21
5.10.246.12,443,true,SJC,北美洲,US,美国,圣何塞,134 ms,14.21
5.10.244.160,443,true,SJC,北美洲,US,美国,圣何塞,145 ms,14.15
5.10.246.247,443,true,SJC,北美洲,US,美国,圣何塞,150 ms,14.14
5.10.246.145,443,true,SJC,北美洲,US,美国,圣何塞,169 ms,14.11
5.10.246.0,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,14.11
5.10.247.91,443,true,SJC,北美洲,US,美国,圣何塞,144 ms,14.08
66.179.48.10,443,true,SJC,北美洲,US,美国,圣何塞,142 ms,14.07
5.10.246.176,443,true,SJC,北美洲,US,美国,圣何塞,134 ms,14.05
5.10.247.131,443,true,SJC,北美洲,US,美国,圣何塞,147 ms,14.01
5.10.246.226,443,true,SJC,北美洲,US,美国,圣何塞,180 ms,14.00
108.162.194.51,443,true,SJC,北美洲,US,美国,圣何塞,164 ms,13.99
108.162.194.12,443,true,SJC,北美洲,US,美国,圣何塞,162 ms,13.99
66.179.48.117,443,true,SJC,北美洲,US,美国,圣何塞,155 ms,13.99
5.10.245.45,443,true,SJC,北美洲,US,美国,圣何塞,161 ms,13.96
66.179.48.225,443,true,SJC,北美洲,US,美国,圣何塞,132 ms,13.92
66.179.48.253,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,13.87
5.10.246.102,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,13.85
5.10.246.228,443,true,SJC,北美洲,US,美国,圣何塞,162 ms,13.82
66.179.48.125,443,true,SJC,北美洲,US,美国,圣何塞,157 ms,13.75
5.10.246.18,443,true,SJC,北美洲,US,美国,圣何塞,156 ms,13.75
5.10.244.116,443,true,SJC,北美洲,US,美国,圣何塞,133 ms,13.72
5.10.244.141,443,true,SJC,北美洲,US,美国,圣何塞,138 ms,13.71
45.202.113.14,443,true,SJC,北美洲,US,美国,圣何塞,133 ms,13.68
66.179.48.56,443,true,SJC,北美洲,US,美国,圣何塞,134 ms,13.67
5.10.247.170,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,13.64
5.10.244.155,443,true,SJC,北美洲,US,美国,圣何塞,155 ms,13.63
5.10.246.129,443,true,SJC,北美洲,US,美国,圣何塞,185 ms,13.62
5.10.245.121,443,true,SJC,北美洲,US,美国,圣何塞,158 ms,13.58
108.162.194.66,443,true,SJC,北美洲,US,美国,圣何塞,150 ms,13.57
5.10.245.126,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,13.56
158.179.171.53,443,true,ICN,亚太,KR,韩国,首尔,148 ms,13.51
5.10.245.198,443,true,SJC,北美洲,US,美国,圣何塞,142 ms,13.48
66.179.48.172,443,true,SJC,北美洲,US,美国,圣何塞,155 ms,13.48
108.162.194.182,443,true,SJC,北美洲,US,美国,圣何塞,160 ms,13.44
5.78.55.95,443,true,PDX,北美洲,US,美国,波特兰,162 ms,13.39
5.10.245.186,443,true,SJC,北美洲,US,美国,圣何塞,145 ms,13.37
5.10.244.73,443,true,SJC,北美洲,US,美国,圣何塞,149 ms,13.34
5.10.246.121,443,true,SJC,北美洲,US,美国,圣何塞,129 ms,13.32
5.10.245.208,443,true,SJC,北美洲,US,美国,圣何塞,136 ms,13.31
